Ország,Dátum,Összes fertőzött,Összes elhunyt,Teljesen vakcinált,Népsűrűség,Népesség,Fertőzött/1000fő,Elhunyt/1000fő,Vakcinált/1000fő
Albania,2020-03-15,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-16,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-17,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-18,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-19,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-20,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-21,33,1,0,104.871,2842318,0.012,0,0
Albania,2020-03-22,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-23,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-24,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-25,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-26,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-27,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-28,70,2,0,104.871,2842318,0.025,0.001,0
Albania,2020-03-29,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-03-30,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-03-31,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-04-01,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-04-02,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-04-03,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-04-04,186,8,0,104.871,2842318,0.065,0.003,0
Albania,2020-04-05,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-06,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-07,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-08,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-09,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-10,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-11,304,17,0,104.871,2842318,0.107,0.006,0
Albania,2020-04-12,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-13,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-14,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-15,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-16,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-17,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-18,416,23,0,104.871,2842318,0.146,0.008,0
Albania,2020-04-19,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-20,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-21,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-22,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-23,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-24,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-25,539,26,0,104.871,2842318,0.19,0.009,0
Albania,2020-04-26,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-04-27,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-04-28,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-04-29,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-04-30,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-05-01,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-05-02,678,27,0,104.871,2842318,0.239,0.009,0
Albania,2020-05-03,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-04,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-05,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-06,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-07,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-08,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-09,782,31,0,104.871,2842318,0.275,0.011,0
Albania,2020-05-10,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-11,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-12,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-13,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-14,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-15,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-16,850,31,0,104.871,2842318,0.299,0.011,0
Albania,2020-05-17,916,31,0,104.871,2842318,0.322,0.011,0
Albania,2020-05-18,916,31,0,104.871,2842318,0.322,0.011,0
Albania,2020-05-19,916,31,0,104.871,2842318,0.322,0.011,0
Albania,2020-05-20,916,31,0,104.871,2842318,0.322,0.011,0
